,Name,Neighborhood,Review Count,Rating,Type,Longitude,Latitude
69,Tre Kronor,ALBANY PARK,684,4.0,Desserts,-87.7161739,41.9719367
70,Tre Kronor,ALBANY PARK,684,4.0,Scandinavian,-87.7161739,41.9719367
71,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Vietnamese,-87.7161739,41.9719367
72,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Bakeries,-87.7161739,41.9719367
73,Salam Restaurant,ALBANY PARK,530,4.0,Middle Eastern,-87.7161739,41.9719367
74,Salam Restaurant,ALBANY PARK,530,4.0,Mediterranean,-87.7161739,41.9719367
75,Salam Restaurant,ALBANY PARK,530,4.0,Halal,-87.7161739,41.9719367
76,LD Pho,ALBANY PARK,146,4.5,Vietnamese,-87.7161739,41.9719367
77,Ixcateco Grill,ALBANY PARK,159,4.5,Mexican,-87.7161739,41.9719367
78,Brasa Roja,ALBANY PARK,258,4.0,Latin American,-87.7161739,41.9719367
79,Hala In Restaurant,ALBANY PARK,266,4.0,Middle Eastern,-87.7161739,41.9719367
80,Hala In Restaurant,ALBANY PARK,266,4.0,Arabian,-87.7161739,41.9719367
81,Angelo's Wine Bar,ALBANY PARK,245,4.0,Italian,-87.7161739,41.9719367
82,Angelo's Wine Bar,ALBANY PARK,245,4.0,Cocktail Bars,-87.7161739,41.9719367
83,Angelo's Wine Bar,ALBANY PARK,245,4.0,Wine Bars,-87.7161739,41.9719367
86,Smoque BBQ,ALBANY PARK,3889,4.5,Barbeque,-87.7161739,41.9719367
87,Noon O Kabab,ALBANY PARK,906,4.0,Persian/Iranian,-87.7161739,41.9719367
88,Noon O Kabab,ALBANY PARK,906,4.0,Mediterranean,-87.7161739,41.9719367
89,Kabobi Grill,ALBANY PARK,479,4.5,Mediterranean,-87.7161739,41.9719367
90,Kabobi Grill,ALBANY PARK,479,4.5,Persian/Iranian,-87.7161739,41.9719367
91,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chinese,-87.7161739,41.9719367
92,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chicken Wings,-87.7161739,41.9719367
93,Semiramis,ALBANY PARK,521,4.0,Lebanese,-87.7161739,41.9719367
94,Semiramis,ALBANY PARK,521,4.0,Soup,-87.7161739,41.9719367
95,Semiramis,ALBANY PARK,521,4.0,Sandwiches,-87.7161739,41.9719367
96,Cafe Orient 33,ALBANY PARK,196,4.5,Korean,-87.7161739,41.9719367
97,Cafe Orient 33,ALBANY PARK,196,4.5,Chicken Wings,-87.7161739,41.9719367
98,Cafe Orient 33,ALBANY PARK,196,4.5,Seafood,-87.7161739,41.9719367
99,Ruby's Fast Food,ALBANY PARK,218,4.5,Filipino,-87.7161739,41.9719367
100,Ruby's Fast Food,ALBANY PARK,218,4.5,Buffets,-87.7161739,41.9719367
101,Ruby's Fast Food,ALBANY PARK,218,4.5,Fast Food,-87.7161739,41.9719367
102,Ay Ay Picante,ALBANY PARK,540,4.0,Seafood,-87.7161739,41.9719367
103,Ay Ay Picante,ALBANY PARK,540,4.0,Peruvian,-87.7161739,41.9719367
104,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Pubs,-87.7161739,41.9719367
105,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Burgers,-87.7161739,41.9719367
106,Bryn Mawr Breakfast Club,ALBANY PARK,667,4.5,Breakfast & Brunch,-87.7161739,41.9719367
107,Afghan Kabob,ALBANY PARK,259,4.5,Middle Eastern,-87.7161739,41.9719367
108,Afghan Kabob,ALBANY PARK,259,4.5,Afghan,-87.7161739,41.9719367
109,Hot Dog Station,ALBANY PARK,160,4.5,Hot Dogs,-87.7161739,41.9719367
110,Hot Dog Station,ALBANY PARK,160,4.5,Burgers,-87.7161739,41.9719367
111,Tre Kronor,ALBANY PARK,684,4.0,Breakfast & Brunch,-87.7161739,41.9719367
112,Tre Kronor,ALBANY PARK,684,4.0,Desserts,-87.7161739,41.9719367
113,Tre Kronor,ALBANY PARK,684,4.0,Scandinavian,-87.7161739,41.9719367
114,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Vietnamese,-87.7161739,41.9719367
115,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Bakeries,-87.7161739,41.9719367
116,Salam Restaurant,ALBANY PARK,530,4.0,Middle Eastern,-87.7161739,41.9719367
117,Salam Restaurant,ALBANY PARK,530,4.0,Mediterranean,-87.7161739,41.9719367
118,Salam Restaurant,ALBANY PARK,530,4.0,Halal,-87.7161739,41.9719367
119,LD Pho,ALBANY PARK,146,4.5,Vietnamese,-87.7161739,41.9719367
120,Ixcateco Grill,ALBANY PARK,159,4.5,Mexican,-87.7161739,41.9719367
121,Brasa Roja,ALBANY PARK,258,4.0,Latin American,-87.7161739,41.9719367
122,Hala In Restaurant,ALBANY PARK,266,4.0,Middle Eastern,-87.7161739,41.9719367
123,Hala In Restaurant,ALBANY PARK,266,4.0,Arabian,-87.7161739,41.9719367
124,Angelo's Wine Bar,ALBANY PARK,245,4.0,Italian,-87.7161739,41.9719367
125,Angelo's Wine Bar,ALBANY PARK,245,4.0,Cocktail Bars,-87.7161739,41.9719367
126,Angelo's Wine Bar,ALBANY PARK,245,4.0,Wine Bars,-87.7161739,41.9719367
129,Smoque BBQ,ALBANY PARK,3889,4.5,Barbeque,-87.7161739,41.9719367
130,Noon O Kabab,ALBANY PARK,906,4.0,Persian/Iranian,-87.7161739,41.9719367
131,Noon O Kabab,ALBANY PARK,906,4.0,Mediterranean,-87.7161739,41.9719367
132,Kabobi Grill,ALBANY PARK,479,4.5,Mediterranean,-87.7161739,41.9719367
133,Kabobi Grill,ALBANY PARK,479,4.5,Persian/Iranian,-87.7161739,41.9719367
134,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chinese,-87.7161739,41.9719367
135,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chicken Wings,-87.7161739,41.9719367
136,Semiramis,ALBANY PARK,521,4.0,Lebanese,-87.7161739,41.9719367
